subset,rul_bucket,rank,sensor_id,symbol,quantity,units,subsystem,total_abs_shap
FD004,pre-warning (30 < RUL <= 80),7,sensor_10,epr,Engine pressure ratio (P50/P2),—,Performance,0.22151918404021803
FD004,pre-warning (30 < RUL <= 80),8,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.2007655002632128
FD004,pre-warning (30 < RUL <= 80),9,sensor_14,NRc,Corrected core speed,rpm,Core,0.19695457883924883
FD004,pre-warning (30 < RUL <= 80),10,sensor_17,htBleed,Bleed enthalpy,—,HPC,0.18886058632111483
FD004,pre-warning (30 < RUL <= 80),11,sensor_12,phi,Fuel-flow / Ps30 ratio,pps/psia,Combustor,0.18562444879691153
FD004,pre-warning (30 < RUL <= 80),12,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.18360838578789848
FD004,pre-warning (30 < RUL <= 80),13,sensor_20,W31,HPT coolant bleed,lbm/s,HPT,0.1796746585411678
FD004,pre-warning (30 < RUL <= 80),14,sensor_4,T50,LPT outlet total temperature,°R,LPT,0.178043955626982
FD004,pre-warning (30 < RUL <= 80),15,sensor_6,P15,Bypass-duct total pressure,psia,Fan,0.17801147601215653
FD004,pre-warning (30 < RUL <= 80),16,sensor_2,T24,LPC outlet total temperature,°R,LPC,0.1584439068151851
FD004,pre-warning (30 < RUL <= 80),17,sensor_3,T30,HPC outlet total temperature,°R,HPC,0.15115167327974216
FD004,warning zone (RUL <= 30),1,sensor_16,farB,Burner fuel-air ratio,—,Combustor,0.5061568150527467
FD004,warning zone (RUL <= 30),2,sensor_9,Nc,Physical core speed,rpm,Core,0.44869871357636887
FD004,warning zone (RUL <= 30),3,sensor_13,NRf,Corrected fan speed,rpm,Fan,0.38484505646045347
FD004,warning zone (RUL <= 30),4,sensor_7,P30,HPC outlet total pressure,psia,HPC,0.38189649021174493
FD004,warning zone (RUL <= 30),5,sensor_8,Nf,Physical fan speed,rpm,Fan,0.3766794945040601
FD004,warning zone (RUL <= 30),6,sensor_15,BPR,Bypass ratio,—,Performance,0.35603207404519366
FD004,warning zone (RUL <= 30),7,sensor_11,Ps30,HPC outlet static pressure,psia,HPC,0.34009128600637717
